  J     P         ALT          T          CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
  1  1.2019E-08  9.4932E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
  2  1.7339E-08  9.4402E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
  3  2.4945E-08  9.3876E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
  4  3.5787E-08  9.3353E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
  5  5.1198E-08  9.2835E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6  7.3043E-08  9.2321E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
  7  1.0392E-07  9.1811E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
  8  1.4744E-07  9.1305E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
  9  2.0860E-07  9.0803E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
 10  2.9432E-07  9.0305E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
 11  4.1410E-07  8.9811E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
 12  5.8101E-07  8.9322E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
 13  8.1294E-07  8.8836E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
 14  1.1343E-06  8.8354E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
 15  1.5783E-06  8.7876E+02  2.0000E+02  0.00E+00   0.0000E+00  2.0000E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
 16  2.1900E-06  8.7400E+02  2.0144E+02  1.00E+00   0.0000E+00  2.0144E+02  9.4236E-01  9.4236E-01  0.0000E+00  0.0000E+00  0.0000E+00
 17  3.0303E-06  8.6925E+02  2.0362E+02  1.00E+00   0.0000E+00  2.0362E+02  9.4290E-01  9.4290E-01  0.0000E+00  0.0000E+00  0.0000E+00
 18  4.1815E-06  8.6448E+02  2.0582E+02  1.00E+00   0.0000E+00  2.0582E+02  9.4343E-01  9.4343E-01  0.0000E+00  0.0000E+00  0.0000E+00
 19  5.7539E-06  8.5971E+02  2.0805E+02  1.00E+00   0.0000E+00  2.0805E+02  9.4396E-01  9.4396E-01  0.0000E+00  0.0000E+00  0.0000E+00
 20  7.8956E-06  8.5493E+02  2.1031E+02  1.00E+00   0.0000E+00  2.1031E+02  9.4449E-01  9.4449E-01  0.0000E+00  0.0000E+00  0.0000E+00
 21  1.0804E-05  8.5015E+02  2.1261E+02  1.00E+00   0.0000E+00  2.1261E+02  9.4501E-01  9.4501E-01  0.0000E+00  0.0000E+00  0.0000E+00
 22  1.4744E-05  8.4535E+02  2.1493E+02  1.00E+00   0.0000E+00  2.1493E+02  9.4553E-01  9.4553E-01  0.0000E+00  0.0000E+00  0.0000E+00
 23  2.0064E-05  8.4055E+02  2.1728E+02  1.00E+00   0.0000E+00  2.1728E+02  9.4604E-01  9.4604E-01  0.0000E+00  0.0000E+00  0.0000E+00
 24  2.7228E-05  8.3575E+02  2.1966E+02  1.00E+00   0.0000E+00  2.1966E+02  9.4655E-01  9.4655E-01  0.0000E+00  0.0000E+00  0.0000E+00
 25  3.6847E-05  8.3093E+02  2.2207E+02  1.00E+00   0.0000E+00  2.2207E+02  9.4705E-01  9.4705E-01  0.0000E+00  0.0000E+00  0.0000E+00
 26  4.9726E-05  8.2612E+02  2.2451E+02  1.00E+00   0.0000E+00  2.2451E+02  9.4754E-01  9.4754E-01  0.0000E+00  0.0000E+00  0.0000E+00
 27  6.6920E-05  8.2129E+02  2.2698E+02  1.00E+00   0.0000E+00  2.2698E+02  9.4804E-01  9.4804E-01  0.0000E+00  0.0000E+00  0.0000E+00
 28  8.9809E-05  8.1646E+02  2.2948E+02  1.00E+00   0.0000E+00  2.2948E+02  9.4852E-01  9.4852E-01  0.0000E+00  0.0000E+00  0.0000E+00
 29  1.2019E-04  8.1163E+02  2.3202E+02  1.00E+00   0.0000E+00  2.3202E+02  9.4901E-01  9.4901E-01  0.0000E+00  0.0000E+00  0.0000E+00
 30  1.6041E-04  8.0679E+02  2.3459E+02  1.00E+00   0.0000E+00  2.3459E+02  9.4948E-01  9.4948E-01  0.0000E+00  0.0000E+00  0.0000E+00
 31  2.1349E-04  8.0194E+02  2.3718E+02  1.00E+00   0.0000E+00  2.3718E+02  9.4996E-01  9.4996E-01  0.0000E+00  0.0000E+00  0.0000E+00
 32  2.8334E-04  7.9710E+02  2.3981E+02  1.00E+00   0.0000E+00  2.3981E+02  9.5042E-01  9.5042E-01  0.0000E+00  0.0000E+00  0.0000E+00
 33  3.7501E-04  7.9225E+02  2.4248E+02  1.00E+00   0.0000E+00  2.4248E+02  9.5089E-01  9.5089E-01  0.0000E+00  0.0000E+00  0.0000E+00
 34  4.9496E-04  7.8739E+02  2.4517E+02  1.00E+00   0.0000E+00  2.4517E+02  9.5134E-01  9.5134E-01  0.0000E+00  0.0000E+00  0.0000E+00
 35  6.5145E-04  7.8253E+02  2.4790E+02  1.00E+00   0.0000E+00  2.4790E+02  9.5180E-01  9.5180E-01  0.0000E+00  0.0000E+00  0.0000E+00
 36  8.5505E-04  7.7767E+02  2.5066E+02  1.00E+00   0.0000E+00  2.5066E+02  9.5224E-01  9.5224E-01  0.0000E+00  0.0000E+00  0.0000E+00
 37  1.1192E-03  7.7281E+02  2.5345E+02  1.00E+00   0.0000E+00  2.5345E+02  9.5269E-01  9.5269E-01  0.0000E+00  0.0000E+00  0.0000E+00
 38  1.4608E-03  7.6795E+02  2.5628E+02  1.00E+00   0.0000E+00  2.5628E+02  9.5313E-01  9.5313E-01  0.0000E+00  0.0000E+00  0.0000E+00
 39  1.9014E-03  7.6309E+02  2.5914E+02  1.00E+00   0.0000E+00  2.5914E+02  9.5356E-01  9.5356E-01  0.0000E+00  0.0000E+00  0.0000E+00
 40  2.4681E-03  7.5822E+02  2.6203E+02  1.00E+00   0.0000E+00  2.6203E+02  9.5399E-01  9.5399E-01  0.0000E+00  0.0000E+00  0.0000E+00
 41  3.1947E-03  7.5329E+02  2.7368E+02  1.00E+00   0.0000E+00  2.7368E+02  9.6098E-01  9.6098E-01  0.0000E+00  0.0000E+00  0.0000E+00
 42  4.1237E-03  7.4814E+02  2.9458E+02  1.00E+00   0.0000E+00  2.9458E+02  9.6098E-01  9.6098E-01  0.0000E+00  0.0000E+00  0.0000E+00
 43  5.3082E-03  7.4265E+02  3.1673E+02  1.00E+00   0.0000E+00  3.1673E+02  9.6098E-01  9.6098E-01  0.0000E+00  0.0000E+00  0.0000E+00
 44  6.8140E-03  7.3682E+02  3.4019E+02  1.00E+00   0.0000E+00  3.4019E+02  9.6098E-01  9.6098E-01  0.0000E+00  0.0000E+00  0.0000E+00
 45  8.7226E-03  7.3071E+02  3.6500E+02  1.00E+00   0.0000E+00  3.6500E+02  9.8978E-01  9.8978E-01  0.0000E+00  0.0000E+00  0.0000E+00
 46  1.1135E-02  7.2432E+02  3.9125E+02  1.00E+00   0.0000E+00  3.9125E+02  9.8983E-01  9.8983E-01  0.0000E+00  0.0000E+00  0.0000E+00
 47  1.4175E-02  7.1755E+02  4.1901E+02  1.00E+00   0.0000E+00  4.1901E+02  9.8986E-01  9.8986E-01  0.0000E+00  0.0000E+00  0.0000E+00
 48  1.7994E-02  7.1038E+02  4.4834E+02  1.00E+00   0.0000E+00  4.4834E+02  9.8989E-01  9.8989E-01  0.0000E+00  0.0000E+00  0.0000E+00
 49  2.2780E-02  7.0281E+02  4.7931E+02  1.00E+00   0.0000E+00  4.7931E+02  9.8990E-01  9.8990E-01  0.0000E+00  0.0000E+00  0.0000E+00
 50  2.8758E-02  6.9481E+02  5.1197E+02  1.00E+00   0.0000E+00  5.1197E+02  9.8991E-01  9.8991E-01  0.0000E+00  0.0000E+00  0.0000E+00
 51  3.6204E-02  6.8637E+02  5.4632E+02  1.00E+00   0.0000E+00  5.4632E+02  9.8992E-01  9.8992E-01  0.0000E+00  0.0000E+00  0.0000E+00
 52  4.5451E-02  6.7749E+02  5.8228E+02  1.00E+00   0.0000E+00  5.8228E+02  9.8993E-01  9.8993E-01  0.0000E+00  0.0000E+00  0.0000E+00
 53  5.6902E-02  6.6813E+02  6.1965E+02  1.00E+00   0.0000E+00  6.1965E+02  9.8993E-01  9.8993E-01  0.0000E+00  0.0000E+00  0.0000E+00
 54  7.1041E-02  6.5832E+02  6.5803E+02  1.00E+00   0.0000E+00  6.5803E+02  9.8994E-01  9.8994E-01  0.0000E+00  0.0000E+00  0.0000E+00
 55  8.8446E-02  6.4804E+02  6.9689E+02  1.00E+00   0.0000E+00  6.9689E+02  9.8994E-01  9.8994E-01  0.0000E+00  0.0000E+00  0.0000E+00
 56  1.0981E-01  6.3731E+02  7.3551E+02  1.00E+00   0.0000E+00  7.3551E+02  9.8994E-01  9.8994E-01  0.0000E+00  0.0000E+00  0.0000E+00
 57  1.3596E-01  6.2615E+02  7.7316E+02  1.00E+00   0.0000E+00  7.7316E+02  9.8994E-01  9.8994E-01  0.0000E+00  0.0000E+00  0.0000E+00
 58  1.6786E-01  6.1461E+02  8.0918E+02  1.00E+00   0.0000E+00  8.0918E+02  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 59  2.0668E-01  6.0271E+02  8.4313E+02  1.00E+00   0.0000E+00  8.4313E+02  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 60  2.5376E-01  5.9050E+02  8.7476E+02  1.00E+00   0.0000E+00  8.7476E+02  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 61  3.1071E-01  5.7803E+02  9.0404E+02  1.00E+00   0.0000E+00  9.0404E+02  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 62  3.7938E-01  5.6535E+02  9.3105E+02  1.00E+00   0.0000E+00  9.3105E+02  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 63  4.6194E-01  5.5248E+02  9.5594E+02  1.00E+00   0.0000E+00  9.5594E+02  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 64  5.6091E-01  5.3948E+02  9.7891E+02  1.00E+00   0.0000E+00  9.7891E+02  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 65  6.7919E-01  5.2637E+02  1.0001E+03  1.00E+00   0.0000E+00  1.0001E+03  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 66  8.2013E-01  5.1318E+02  1.0198E+03  1.00E+00   0.0000E+00  1.0198E+03  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 67  9.8757E-01  4.9995E+02  1.0381E+03  1.00E+00   0.0000E+00  1.0381E+03  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 68  1.1859E+00  4.8656E+02  1.0747E+03  1.00E+00   0.0000E+00  1.0747E+03  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 69  1.4201E+00  4.7291E+02  1.1126E+03  1.00E+00   0.0000E+00  1.1126E+03  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 70  1.6958E+00  4.5901E+02  1.1507E+03  1.00E+00   0.0000E+00  1.1507E+03  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 71  2.0194E+00  4.4486E+02  1.1888E+03  1.00E+00   0.0000E+00  1.1888E+03  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 72  2.3982E+00  4.3049E+02  1.2269E+03  1.00E+00   0.0000E+00  1.2269E+03  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 73  2.8400E+00  4.1590E+02  1.2650E+03  1.00E+00   0.0000E+00  1.2650E+03  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 74  3.3539E+00  4.0111E+02  1.3029E+03  1.00E+00   0.0000E+00  1.3029E+03  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
 75  3.9498E+00  3.8615E+02  1.3407E+03  1.00E+00   0.0000E+00  1.3407E+03  9.8995E-01  9.8995E-01  0.0000E+00  0.0000E+00  0.0000E+00
